second_name,selected_by_percent,now_cost,minutes,transfers_in,value_season,total_points,position
Borges Fernandes,13.3,95,3317,3866605,18.5,176,Midfielder
Casimiro,2.4,49,2122,775761,17.8,87,Midfielder
Dalot Teixeira,6.3,48,2152,2822010,21.2,102,Defender
De Gea Quintana,15.8,51,3420,2277434,31.6,161,Goalkeeper
dos Santos,3.4,73,1803,1802804,11.2,82,Midfielder
dos Santos Aveiro,1.9,102,519,227123,2,20,Forward
Elanga,0.4,46,417,78352,5,23,Midfielder
Eriksen,2.5,62,2046,590670,16.6,103,Midfielder
Garnacho,1.5,41,557,397380,9.5,39,Midfielder
Lindelof,1.6,41,1359,218943,13.9,57,Defender
Maguire,0.4,47,762,44680,8.3,39,Defender
Mainoo,0,45,10,608,0.2,1,Midfielder
Malacia,1.9,42,1391,571000,14.8,62,Defender
Martial,2.9,63,970,1586178,10.5,66,Forward
Martinez,4.7,44,2113,1314733,18.4,81,Defender
McTominay,0.2,49,1149,28257,7.3,36,Midfielder
Pellistri Rebollo,0,43,60,3958,0.9,4,Midfielder
Rashford,37.8,72,2880,10735832,28.5,205,Midfielder
Rodrigues de Paula Santos,0.5,51,1228,58994,12.2,62,Midfielder
Sabitzer,0.1,47,622,37093,5.3,25,Midfielder
Sancho,3.3,71,1683,722517,14.8,105,Midfielder
Shaw,19.2,53,2552,5515072,23.4,124,Defender
van de Beek,0.1,51,162,8330,1.6,8,Midfielder
Varane,3.1,48,1912,651331,16,77,Defender
Wan-Bissaka,1.8,43,1432,390146,15.6,67,Defender
Weghorst,0.3,54,790,224770,4.4,24,Forward
